Task,Model,Top-1 / AUC,Top-5 / AUPRC,Top-10
Forecasting,Unimodal,6.572344460668312,17.264991692261216,24.92489468472551
Forecasting,Multimodal,7.997247537049159,19.871439840222884,27.85358239766376
Mortality,Multimodal,0.9630524252508446,0.5130994335931842,0.0
Mortality,Unimodal,0.9264105279080321,0.4415092763287925,0.0
